Product Model Name,Brand,Category,Base Price (AED),Variant Spec / Size & Connectivity,Spec Boost (AED),Total Valuation (AED),Colors
Apple Watch Ultra 2 (2023),Apple,smartwatches,2200,49mm Titanium Case (GPS + Cellular),0,2200,Titanium (Natural)
Apple Watch Ultra (2022),Apple,smartwatches,1700,49mm Titanium Case (GPS + Cellular),0,1700,Titanium (Natural)
Apple Watch Series 9 (2023),Apple,smartwatches,1100,41mm Aluminum (GPS),0,1100,"Midnight, Starlight, Silver, Pink, (PRODUCT)RED, Graphite, Gold"
Apple Watch Series 9 (2023),Apple,smartwatches,1100,41mm Aluminum (GPS + Cellular),100,1200,"Midnight, Starlight, Silver, Pink, (PRODUCT)RED, Graphite, Gold"
Apple Watch Series 9 (2023),Apple,smartwatches,1100,45mm Aluminum (GPS),120,1220,"Midnight, Starlight, Silver, Pink, (PRODUCT)RED, Graphite, Gold"
Apple Watch Series 9 (2023),Apple,smartwatches,1100,45mm Aluminum (GPS + Cellular),220,1320,"Midnight, Starlight, Silver, Pink, (PRODUCT)RED, Graphite, Gold"
Apple Watch Series 9 (2023),Apple,smartwatches,1100,41mm Stainless Steel (Cellular),350,1450,"Midnight, Starlight, Silver, Pink, (PRODUCT)RED, Graphite, Gold"
Apple Watch Series 9 (2023),Apple,smartwatches,1100,45mm Stainless Steel (Cellular),450,1550,"Midnight, Starlight, Silver, Pink, (PRODUCT)RED, Graphite, Gold"
Apple Watch Series 8 (2022),Apple,smartwatches,850,41mm Aluminum (GPS),0,850,"Midnight, Starlight, Silver, (PRODUCT)RED, Graphite, Gold"
Apple Watch Series 8 (2022),Apple,smartwatches,850,41mm Aluminum (GPS + Cellular),80,930,"Midnight, Starlight, Silver, (PRODUCT)RED, Graphite, Gold"
Apple Watch Series 8 (2022),Apple,smartwatches,850,45mm Aluminum (GPS),100,950,"Midnight, Starlight, Silver, (PRODUCT)RED, Graphite, Gold"
Apple Watch Series 8 (2022),Apple,smartwatches,850,45mm Aluminum (GPS + Cellular),180,1030,"Midnight, Starlight, Silver, (PRODUCT)RED, Graphite, Gold"
Apple Watch Series 8 (2022),Apple,smartwatches,850,41mm Stainless Steel (Cellular),280,1130,"Midnight, Starlight, Silver, (PRODUCT)RED, Graphite, Gold"
Apple Watch Series 8 (2022),Apple,smartwatches,850,45mm Stainless Steel (Cellular),380,1230,"Midnight, Starlight, Silver, (PRODUCT)RED, Graphite, Gold"
Apple Watch Series 7 (2021),Apple,smartwatches,650,41mm Aluminum (GPS),0,650,"Midnight, Starlight, Green, Blue, (PRODUCT)RED, Graphite, Gold"
Apple Watch Series 7 (2021),Apple,smartwatches,650,41mm Aluminum (GPS + Cellular),60,710,"Midnight, Starlight, Green, Blue, (PRODUCT)RED, Graphite, Gold"
Apple Watch Series 7 (2021),Apple,smartwatches,650,45mm Aluminum (GPS),80,730,"Midnight, Starlight, Green, Blue, (PRODUCT)RED, Graphite, Gold"
Apple Watch Series 7 (2021),Apple,smartwatches,650,45mm Aluminum (GPS + Cellular),150,800,"Midnight, Starlight, Green, Blue, (PRODUCT)RED, Graphite, Gold"
Apple Watch Series 7 (2021),Apple,smartwatches,650,45mm Stainless Steel (Cellular),280,930,"Midnight, Starlight, Green, Blue, (PRODUCT)RED, Graphite, Gold"
Apple Watch Series 6 (2020),Apple,smartwatches,500,40mm Aluminum (GPS),0,500,"Space Gray, Silver, Gold, Blue, (PRODUCT)RED, Graphite"
Apple Watch Series 6 (2020),Apple,smartwatches,500,40mm Aluminum (GPS + Cellular),50,550,"Space Gray, Silver, Gold, Blue, (PRODUCT)RED, Graphite"
Apple Watch Series 6 (2020),Apple,smartwatches,500,44mm Aluminum (GPS),70,570,"Space Gray, Silver, Gold, Blue, (PRODUCT)RED, Graphite"
Apple Watch Series 6 (2020),Apple,smartwatches,500,44mm Aluminum (GPS + Cellular),120,620,"Space Gray, Silver, Gold, Blue, (PRODUCT)RED, Graphite"
Apple Watch Series 5 (2019),Apple,smartwatches,380,40mm Aluminum (GPS),0,380,"Space Gray, Silver, Gold"
Apple Watch Series 5 (2019),Apple,smartwatches,380,40mm Aluminum (GPS + Cellular),40,420,"Space Gray, Silver, Gold"
Apple Watch Series 5 (2019),Apple,smartwatches,380,44mm Aluminum (GPS),60,440,"Space Gray, Silver, Gold"
Apple Watch Series 5 (2019),Apple,smartwatches,380,44mm Aluminum (GPS + Cellular),100,480,"Space Gray, Silver, Gold"
Apple Watch SE 2nd Gen (2022),Apple,smartwatches,550,40mm Aluminum (GPS),0,550,"Midnight, Starlight, Silver"
Apple Watch SE 2nd Gen (2022),Apple,smartwatches,550,40mm Aluminum (GPS + Cellular),60,610,"Midnight, Starlight, Silver"
Apple Watch SE 2nd Gen (2022),Apple,smartwatches,550,44mm Aluminum (GPS),80,630,"Midnight, Starlight, Silver"
Apple Watch SE 2nd Gen (2022),Apple,smartwatches,550,44mm Aluminum (GPS + Cellular),140,690,"Midnight, Starlight, Silver"
Apple Watch SE 1st Gen (2020),Apple,smartwatches,350,40mm Aluminum (GPS),0,350,"Space Gray, Silver, Gold"
Apple Watch SE 1st Gen (2020),Apple,smartwatches,350,40mm Aluminum (GPS + Cellular),40,390,"Space Gray, Silver, Gold"
Apple Watch SE 1st Gen (2020),Apple,smartwatches,350,44mm Aluminum (GPS),60,410,"Space Gray, Silver, Gold"
Apple Watch SE 1st Gen (2020),Apple,smartwatches,350,44mm Aluminum (GPS + Cellular),90,440,"Space Gray, Silver, Gold"
